batting_team,bowling_team,venue,pitch_condition,temperature,humidity,overs_completed,runs_scored,wickets_lost,run_rate,last_5_overs_runs,striker_strike_rate,non_striker_strike_rate,partnership_runs,boundaries_hit,extras_conceded,predicted_total
Sunrisers Hyderabad,Mumbai Indians,Arun Jaitley Stadium,balanced,36,61,18.1,112,10,6.27,33,82.53,67.68,10,11,10,122
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,batting friendly,35,39,7.0,61,1,8.35,26,107.32,91.69,31,5,9,184
Sunrisers Hyderabad,Chennai Super Kings,Rajiv Gandhi International Stadium,batting friendly,31,84,10.9,82,6,6.72,42,83.08,78.5,56,8,14,148
Punjab Kings,Kolkata Knight Riders,Rajiv Gandhi International Stadium,balanced,34,67,11.2,92,1,7.58,48,97.62,92.41,24,9,3,166
Lucknow Super Giants,Delhi Capitals,Eden Gardens,dry,27,47,13.1,105,2,7.38,41,90.79,94.62,76,8,15,159
Kolkata Knight Riders,Delhi Capitals,Narendra Modi Stadium,slow,36,45,15.3,99,3,5.99,32,79.98,74.09,58,9,8,137
Kolkata Knight Riders,Delhi Capitals,Arun Jaitley Stadium,bowling friendly,40,86,10.2,55,3,5.62,27,72.7,58.24,46,5,15,120
Delhi Capitals,Gujarat Titans,Ekana Cricket Stadium,balanced,30,80,7.1,50,2,6.65,26,81.3,69.11,43,3,15,139
Mumbai Indians,Kolkata Knight Riders,PCA Stadium,green,26,75,19.0,101,2,5.31,25,67.86,58.32,68,7,15,120
Punjab Kings,Kolkata Knight Riders,PCA Stadium,flat,34,76,8.7,95,0,9.89,32,123.13,106.65,25,7,10,225
Lucknow Super Giants,Mumbai Indians,PCA Stadium,bowling friendly,38,75,14.0,73,2,5.0,22,65.19,52.24,53,7,13,120
Kolkata Knight Riders,Punjab Kings,PCA Stadium,dry,33,46,14.8,95,4,6.28,39,75.57,69.1,68,9,7,137
Kolkata Knight Riders,Royal Challengers Bangalore,Wankhede Stadium,flat,39,53,6.4,66,2,10.33,35,137.47,105.39,81,6,13,213
Kolkata Knight Riders,Lucknow Super Giants,Arun Jaitley Stadium,balanced,25,88,18.8,113,6,5.99,31,72.07,76.27,71,7,9,129
Rajasthan Royals,Royal Challengers Bangalore,Ekana Cricket Stadium,flat,27,40,19.3,146,6,7.78,41,104.43,99.48,10,10,7,156
Royal Challengers Bangalore,Sunrisers Hyderabad,Wankhede Stadium,balanced,29,73,19.2,99,8,5.42,25,70.86,62.44,46,10,7,120
Sunrisers Hyderabad,Rajasthan Royals,Wankhede Stadium,dry,33,37,10.7,73,4,6.25,31,85.93,63.99,71,6,3,134
Chennai Super Kings,Gujarat Titans,Wankhede Stadium,bowling friendly,28,35,5.4,33,0,5.8,21,73.32,72.2,32,2,4,120
Lucknow Super Giants,Gujarat Titans,M. A. Chidambaram Stadium,slow,25,45,18.2,88,7,4.93,25,61.47,54.93,48,8,4,120
Lucknow Super Giants,Sunrisers Hyderabad,Ekana Cricket Stadium,green,34,31,17.5,116,2,6.24,34,83.63,64.4,51,9,9,139
Gujarat Titans,Mumbai Indians,Ekana Cricket Stadium,flat,26,66,18.8,157,8,8.12,48,103.08,96.1,46,13,3,167
Sunrisers Hyderabad,Gujarat Titans,PCA Stadium,flat,25,82,14.3,108,5,7.29,41,92.31,83.79,13,9,14,155
Royal Challengers Bangalore,Punjab Kings,Arun Jaitley Stadium,bowling friendly,36,37,18.4,90,6,4.9,30,59.75,60.58,49,6,11,120
Delhi Capitals,Kolkata Knight Riders,Wankhede Stadium,balanced,38,46,9.2,69,1,8.01,25,103.42,101.34,26,4,3,153
Chennai Super Kings,Punjab Kings,Sawai Mansingh Stadium,dry,34,59,13.4,105,2,7.4,45,98.51,77.89,55,9,4,159
Lucknow Super Giants,Delhi Capitals,Narendra Modi Stadium,green,28,46,9.9,62,2,6.18,20,80.12,66.17,59,5,13,129
Kolkata Knight Riders,Sunrisers Hyderabad,PCA Stadium,green,38,37,13.2,73,4,5.09,29,65.14,56.51,67,7,5,120
Rajasthan Royals,Delhi Capitals,Ekana Cricket Stadium,flat,34,42,11.5,105,3,8.45,43,117.8,101.97,45,7,12,183
Chennai Super Kings,Royal Challengers Bangalore,Eden Gardens,dry,30,41,16.8,103,1,6.42,29,87.21,64.45,67,11,3,124
Lucknow Super Giants,Mumbai Indians,Narendra Modi Stadium,dry,26,48,5.7,42,0,6.56,20,80.69,81.36,52,4,15,143
Royal Challengers Bangalore,Gujarat Titans,M. Chinnaswamy Stadium,slow,25,89,8.6,46,5,4.51,17,54.65,51.19,42,3,11,120
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,slow,37,72,15.8,88,5,5.5,29,74.12,59.56,65,6,11,120
Rajasthan Royals,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,flat,36,68,10.4,104,1,9.84,44,125.83,116.98,22,7,4,207
Chennai Super Kings,Rajasthan Royals,Ekana Cricket Stadium,bowling friendly,25,89,15.6,77,7,4.5,23,61.87,57.79,37,7,12,120
Sunrisers Hyderabad,Punjab Kings,Arun Jaitley Stadium,flat,36,37,19.6,148,10,7.77,49,98.5,79.57,55,15,9,158
Chennai Super Kings,Gujarat Titans,Wankhede Stadium,dry,31,30,11.3,90,1,7.11,35,88.94,84.36,34,6,9,161
Kolkata Knight Riders,Punjab Kings,Wankhede Stadium,green,29,59,5.2,36,2,6.27,20,87.68,78.24,26,3,2,136
Kolkata Knight Riders,Delhi Capitals,Eden Gardens,slow,28,82,9.7,58,4,5.43,17,75.51,57.66,69,5,4,120
Lucknow Super Giants,Kolkata Knight Riders,Wankhede Stadium,balanced,35,89,14.8,99,6,6.29,38,83.73,76.49,48,10,2,128
Lucknow Super Giants,Kolkata Knight Riders,Rajiv Gandhi International Stadium,flat,40,55,5.5,50,0,9.36,28,127.0,112.85,39,4,11,188
Mumbai Indians,Delhi Capitals,Eden Gardens,slow,39,83,9.0,63,2,5.92,20,82.5,66.21,70,6,9,140
Royal Challengers Bangalore,Gujarat Titans,Arun Jaitley Stadium,flat,33,70,14.3,114,3,8.33,40,110.26,84.65,71,7,9,161
Kolkata Knight Riders,Chennai Super Kings,Arun Jaitley Stadium,balanced,32,36,7.6,49,3,6.44,21,80.34,82.26,37,3,14,132
Chennai Super Kings,Sunrisers Hyderabad,Ekana Cricket Stadium,slow,32,88,11.6,59,3,5.02,26,64.97,59.6,63,6,7,120
Mumbai Indians,Punjab Kings,Sawai Mansingh Stadium,flat,40,33,15.3,122,5,8.18,41,104.19,104.1,67,8,6,156
Lucknow Super Giants,Chennai Super Kings,M. Chinnaswamy Stadium,balanced,34,54,7.7,51,3,7.09,23,92.79,83.46,17,4,5,131
Mumbai Indians,Gujarat Titans,Arun Jaitley Stadium,green,34,68,17.1,87,9,4.76,24,61.46,61.38,26,6,2,120
Sunrisers Hyderabad,Chennai Super Kings,PCA Stadium,flat,29,70,17.3,176,2,9.77,47,124.03,101.15,28,18,15,200
Gujarat Titans,Punjab Kings,M. A. Chidambaram Stadium,balanced,29,38,6.1,44,3,7.86,23,107.76,92.15,37,4,5,149
Kolkata Knight Riders,Punjab Kings,Ekana Cricket Stadium,green,40,78,9.2,54,2,5.77,20,74.93,67.81,50,5,5,120
Mumbai Indians,Rajasthan Royals,M. Chinnaswamy Stadium,dry,29,70,15.0,106,4,7.12,32,97.8,84.4,17,7,12,141
Royal Challengers Bangalore,Chennai Super Kings,M. Chinnaswamy Stadium,green,34,48,14.7,100,1,6.64,36,82.98,70.52,52,10,10,136
Sunrisers Hyderabad,Gujarat Titans,Eden Gardens,green,36,75,8.3,41,4,4.88,19,61.17,49.56,31,4,6,120
Kolkata Knight Riders,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,flat,35,63,13.1,118,2,8.73,42,115.07,98.0,73,10,7,184
Kolkata Knight Riders,Royal Challengers Bangalore,PCA Stadium,bowling friendly,35,83,12.1,61,3,4.5,24,62.49,46.72,16,5,10,120
Gujarat Titans,Chennai Super Kings,PCA Stadium,green,25,85,9.7,54,1,5.06,18,69.96,62.29,73,3,11,120
Delhi Capitals,Rajasthan Royals,M. Chinnaswamy Stadium,green,35,89,15.8,100,4,5.96,36,74.05,61.89,60,8,6,135
Punjab Kings,Delhi Capitals,Narendra Modi Stadium,flat,29,60,13.7,108,5,8.17,48,101.37,102.72,66,6,4,165
Mumbai Indians,Sunrisers Hyderabad,Arun Jaitley Stadium,slow,36,44,8.9,56,3,6.41,23,85.75,65.71,56,4,10,129
Lucknow Super Giants,Delhi Capitals,Ekana Cricket Stadium,flat,29,70,5.3,55,0,9.26,35,114.1,104.53,54,4,14,215
Kolkata Knight Riders,Punjab Kings,Rajiv Gandhi International Stadium,batting friendly,37,72,14.1,123,5,8.63,54,115.35,95.86,48,7,5,172
Gujarat Titans,Mumbai Indians,M. A. Chidambaram Stadium,green,34,53,19.9,92,7,4.5,23,60.93,50.21,31,8,2,120
Kolkata Knight Riders,Sunrisers Hyderabad,PCA Stadium,slow,25,33,16.5,88,5,5.63,31,75.54,70.27,36,8,14,120
Sunrisers Hyderabad,Chennai Super Kings,M. Chinnaswamy Stadium,green,32,75,18.2,93,4,4.72,23,56.74,56.87,15,7,3,120
Sunrisers Hyderabad,Chennai Super Kings,Narendra Modi Stadium,bowling friendly,36,67,17.8,120,0,6.27,39,75.69,72.59,51,7,8,139
Delhi Capitals,Mumbai Indians,Sawai Mansingh Stadium,flat,36,59,16.2,145,9,8.8,42,119.63,88.14,10,15,8,187
Punjab Kings,Rajasthan Royals,M. Chinnaswamy Stadium,slow,38,83,5.9,33,2,6.35,23,82.9,69.44,45,2,2,120
Sunrisers Hyderabad,Delhi Capitals,M. Chinnaswamy Stadium,green,27,44,18.0,104,3,5.97,34,77.66,70.98,20,10,14,124
Sunrisers Hyderabad,Rajasthan Royals,M. A. Chidambaram Stadium,green,30,65,17.8,98,2,5.18,23,69.96,62.23,21,7,15,120
Kolkata Knight Riders,Royal Challengers Bangalore,Arun Jaitley Stadium,green,25,38,7.3,48,2,6.11,19,80.05,63.61,23,4,3,134
Kolkata Knight Riders,Punjab Kings,M. A. Chidambaram Stadium,slow,33,80,7.0,43,2,5.83,18,71.4,73.44,77,3,8,127
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,slow,40,89,9.1,52,3,5.72,21,78.74,67.23,74,3,5,121
Chennai Super Kings,Mumbai Indians,M. A. Chidambaram Stadium,slow,35,85,9.6,48,4,5.24,17,66.5,60.28,15,3,3,120
Punjab Kings,Royal Challengers Bangalore,M. A. Chidambaram Stadium,bowling friendly,33,31,12.5,52,5,4.5,24,59.92,50.95,74,5,7,120
Mumbai Indians,Sunrisers Hyderabad,Eden Gardens,slow,28,73,12.4,75,2,5.53,33,68.61,59.04,28,7,7,123
Punjab Kings,Gujarat Titans,M. A. Chidambaram Stadium,batting friendly,40,85,12.8,95,6,7.81,49,106.49,89.9,33,8,6,150
Rajasthan Royals,Gujarat Titans,Wankhede Stadium,slow,31,79,11.1,53,4,4.76,25,59.85,47.75,76,5,8,120
Chennai Super Kings,Lucknow Super Giants,Rajiv Gandhi International Stadium,balanced,27,65,6.9,59,2,7.49,23,100.97,91.01,83,4,3,180
Lucknow Super Giants,Punjab Kings,M. Chinnaswamy Stadium,bowling friendly,36,42,16.4,77,8,4.5,21,55.57,46.34,60,7,12,120
Kolkata Knight Riders,Royal Challengers Bangalore,M. A. Chidambaram Stadium,batting friendly,40,43,16.9,148,3,8.8,42,122.28,103.5,43,12,11,176
Sunrisers Hyderabad,Mumbai Indians,Eden Gardens,batting friendly,39,79,7.8,71,2,8.96,32,113.89,104.12,35,4,7,190
Mumbai Indians,Chennai Super Kings,Eden Gardens,green,25,36,11.4,63,3,5.25,30,68.04,55.76,36,5,14,120
Gujarat Titans,Chennai Super Kings,M. A. Chidambaram Stadium,batting friendly,33,62,10.9,97,3,8.3,42,105.55,106.15,60,8,6,180
Lucknow Super Giants,Delhi Capitals,Sawai Mansingh Stadium,flat,33,79,6.4,55,4,8.53,27,114.04,91.69,49,3,4,169
Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,bowling friendly,36,40,11.6,65,3,4.9,22,67.11,61.53,23,6,6,120
Royal Challengers Bangalore,Rajasthan Royals,Ekana Cricket Stadium,balanced,34,48,7.4,48,3,7.17,24,91.72,77.03,80,4,7,137
Sunrisers Hyderabad,Mumbai Indians,Eden Gardens,bowling friendly,37,32,18.0,121,1,6.24,39,80.41,67.5,52,7,11,136
Royal Challengers Bangalore,Punjab Kings,M. Chinnaswamy Stadium,flat,29,85,19.2,145,7,7.62,41,102.4,92.15,36,11,5,155
Punjab Kings,Gujarat Titans,Rajiv Gandhi International Stadium,dry,26,83,9.6,58,5,5.28,20,73.01,64.07,47,3,12,125
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,flat,40,89,13.0,112,4,8.83,49,111.28,92.91,24,10,15,170
Lucknow Super Giants,Sunrisers Hyderabad,Arun Jaitley Stadium,balanced,27,88,18.2,120,1,6.79,37,90.52,87.9,54,8,5,131
Rajasthan Royals,Lucknow Super Giants,Narendra Modi Stadium,green,35,63,18.0,90,5,4.94,24,66.43,55.81,55,9,5,120
Kolkata Knight Riders,Rajasthan Royals,Narendra Modi Stadium,flat,40,71,9.9,87,5,9.2,28,125.67,96.75,44,6,9,184
Chennai Super Kings,Gujarat Titans,Ekana Cricket Stadium,dry,26,34,17.8,107,2,6.25,31,79.33,73.04,34,10,2,129
Royal Challengers Bangalore,Chennai Super Kings,Rajiv Gandhi International Stadium,green,33,82,19.6,115,1,6.29,36,79.31,79.37,55,7,12,125
Rajasthan Royals,Sunrisers Hyderabad,Narendra Modi Stadium,batting friendly,32,87,17.6,145,2,7.88,48,99.68,89.69,38,14,2,174
Delhi Capitals,Gujarat Titans,Sawai Mansingh Stadium,bowling friendly,33,49,5.8,39,1,5.28,19,69.68,61.23,50,3,9,133
Sunrisers Hyderabad,Punjab Kings,M. A. Chidambaram Stadium,green,32,61,18.3,115,0,6.53,36,80.15,72.31,27,9,2,125
Delhi Capitals,Chennai Super Kings,M. A. Chidambaram Stadium,slow,31,41,13.3,79,2,5.35,24,66.55,59.96,24,4,2,120
Mumbai Indians,Delhi Capitals,Ekana Cricket Stadium,batting friendly,39,61,17.2,149,4,8.46,50,116.24,88.42,45,9,15,173
Kolkata Knight Riders,Sunrisers Hyderabad,Narendra Modi Stadium,dry,25,53,11.6,85,1,7.78,38,93.94,81.94,41,7,9,155
Chennai Super Kings,Punjab Kings,Wankhede Stadium,slow,32,30,5.1,25,3,5.4,20,66.02,54.93,50,2,7,120
Chennai Super Kings,Lucknow Super Giants,PCA Stadium,dry,28,61,8.2,50,5,5.9,19,78.7,63.69,12,4,4,124
Punjab Kings,Gujarat Titans,PCA Stadium,green,35,46,12.9,73,3,5.81,27,77.05,71.72,63,7,7,120
Delhi Capitals,Kolkata Knight Riders,Narendra Modi Stadium,batting friendly,34,43,8.3,76,1,9.14,28,112.63,95.46,80,5,12,181
Kolkata Knight Riders,Delhi Capitals,PCA Stadium,green,32,49,17.8,76,9,4.5,21,61.81,52.08,37,7,14,120
Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,bowling friendly,31,53,8.9,52,2,5.18,15,63.02,65.7,70,4,14,121
Rajasthan Royals,Gujarat Titans,Ekana Cricket Stadium,dry,35,74,7.5,68,1,7.99,30,102.83,94.87,77,7,11,186
Delhi Capitals,Rajasthan Royals,Eden Gardens,slow,37,39,7.8,53,1,6.22,22,74.7,66.03,34,4,4,133
Kolkata Knight Riders,Chennai Super Kings,M. Chinnaswamy Stadium,bowling friendly,34,64,19.1,91,6,4.55,29,55.14,58.38,36,9,8,120
Gujarat Titans,Sunrisers Hyderabad,Eden Gardens,balanced,38,32,14.4,103,4,7.03,39,98.33,89.73,23,7,6,140
Rajasthan Royals,Lucknow Super Giants,M. A. Chidambaram Stadium,flat,25,53,14.7,115,3,8.11,44,107.56,85.66,38,11,13,153
Kolkata Knight Riders,Sunrisers Hyderabad,Narendra Modi Stadium,dry,40,38,16.7,90,7,5.68,35,75.86,63.19,44,9,4,120
Mumbai Indians,Chennai Super Kings,Ekana Cricket Stadium,balanced,39,46,14.6,110,2,7.48,45,104.56,77.76,45,8,9,150
Royal Challengers Bangalore,Chennai Super Kings,M. A. Chidambaram Stadium,bowling friendly,32,79,16.9,86,3,4.93,31,59.35,62.33,43,6,10,120
Royal Challengers Bangalore,Chennai Super Kings,Arun Jaitley Stadium,slow,30,33,10.4,67,1,5.58,35,76.67,58.51,74,6,7,136
Chennai Super Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,bowling friendly,30,55,6.9,40,2,5.21,20,72.42,58.86,43,4,8,124
Punjab Kings,Kolkata Knight Riders,Wankhede Stadium,slow,29,69,16.8,90,5,4.89,27,65.24,51.05,29,9,8,120
Sunrisers Hyderabad,Gujarat Titans,Rajiv Gandhi International Stadium,bowling friendly,39,73,15.2,98,0,5.9,31,80.99,70.0,54,9,10,133
Royal Challengers Bangalore,Sunrisers Hyderabad,M. A. Chidambaram Stadium,balanced,28,38,5.8,42,3,7.61,28,94.38,79.55,60,2,9,149
Delhi Capitals,Punjab Kings,Narendra Modi Stadium,flat,39,75,15.3,142,1,9.33,56,128.79,111.82,45,10,7,183
Sunrisers Hyderabad,Mumbai Indians,PCA Stadium,bowling friendly,36,48,16.5,83,9,5.0,32,61.2,62.4,10,8,2,120
Lucknow Super Giants,Gujarat Titans,PCA Stadium,green,36,53,5.3,35,2,5.63,21,69.97,57.76,47,2,14,127
Gujarat Titans,Delhi Capitals,Rajiv Gandhi International Stadium,green,37,53,7.3,45,3,5.57,22,71.12,60.16,41,4,2,127
Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,bowling friendly,33,83,7.7,50,1,5.71,20,79.82,62.81,58,4,11,134
Sunrisers Hyderabad,Rajasthan Royals,Arun Jaitley Stadium,balanced,39,52,7.6,59,2,7.49,22,90.72,78.28,79,4,2,163
Lucknow Super Giants,Punjab Kings,M. A. Chidambaram Stadium,batting friendly,34,57,11.0,83,5,7.29,35,89.77,86.99,27,8,5,152
Lucknow Super Giants,Kolkata Knight Riders,Eden Gardens,bowling friendly,36,78,18.9,99,5,5.32,27,69.97,67.78,23,7,3,120
Sunrisers Hyderabad,Lucknow Super Giants,M. A. Chidambaram Stadium,dry,35,84,14.4,88,5,6.14,29,77.09,71.08,73,9,10,122
Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,balanced,30,53,10.0,79,5,7.47,35,102.93,85.64,26,8,12,166
Gujarat Titans,Royal Challengers Bangalore,Sawai Mansingh Stadium,batting friendly,32,41,14.4,135,0,9.03,49,116.65,101.97,77,14,15,183
Delhi Capitals,Chennai Super Kings,Sawai Mansingh Stadium,slow,34,55,16.7,84,8,4.54,27,61.39,58.93,27,8,4,120
Punjab Kings,Rajasthan Royals,M. Chinnaswamy Stadium,flat,25,72,12.8,117,3,9.28,44,125.44,119.0,41,7,10,192
Royal Challengers Bangalore,Lucknow Super Giants,Sawai Mansingh Stadium,green,31,89,12.1,76,1,5.91,33,77.99,75.28,46,6,2,132
Delhi Capitals,Kolkata Knight Riders,M. Chinnaswamy Stadium,slow,28,72,13.5,91,3,6.04,37,74.97,74.41,61,6,8,131
Lucknow Super Giants,Chennai Super Kings,M. Chinnaswamy Stadium,bowling friendly,25,60,5.6,32,1,5.27,16,63.53,60.21,81,2,5,122
Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,flat,33,39,9.1,80,3,8.03,25,106.75,82.11,65,6,11,171
Chennai Super Kings,Delhi Capitals,Eden Gardens,batting friendly,37,88,16.9,132,6,7.5,40,90.72,94.33,57,13,9,164
Sunrisers Hyderabad,Rajasthan Royals,Rajiv Gandhi International Stadium,green,31,85,11.8,60,2,5.2,26,64.75,67.32,73,5,7,120
Chennai Super Kings,Mumbai Indians,Eden Gardens,balanced,26,39,16.4,92,6,5.93,35,77.61,59.71,70,8,11,120
Sunrisers Hyderabad,Lucknow Super Giants,Sawai Mansingh Stadium,slow,37,36,11.9,75,5,5.75,29,79.15,67.87,57,8,5,124
Mumbai Indians,Lucknow Super Giants,Arun Jaitley Stadium,green,30,76,8.3,54,3,5.61,17,69.35,65.74,27,4,10,137
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,bowling friendly,25,89,12.2,54,6,4.5,28,58.5,51.71,41,3,2,120
Gujarat Titans,Rajasthan Royals,Arun Jaitley Stadium,flat,33,78,19.7,183,0,9.08,50,112.88,112.87,26,13,3,193
Kolkata Knight Riders,Rajasthan Royals,M. A. Chidambaram Stadium,batting friendly,27,52,16.5,116,8,7.12,39,91.29,71.33,58,8,5,139
Mumbai Indians,Lucknow Super Giants,Sawai Mansingh Stadium,batting friendly,27,62,16.9,148,2,8.63,53,111.34,95.06,49,12,13,176
Lucknow Super Giants,Rajasthan Royals,Eden Gardens,green,25,67,8.8,49,4,5.03,16,67.66,56.43,61,3,15,120
Chennai Super Kings,Rajasthan Royals,Wankhede Stadium,green,32,52,14.7,72,7,4.5,27,62.42,47.5,20,5,10,120
Kolkata Knight Riders,Rajasthan Royals,Rajiv Gandhi International Stadium,balanced,31,69,11.3,89,1,7.62,41,93.35,93.4,86,8,3,164
Kolkata Knight Riders,Mumbai Indians,Arun Jaitley Stadium,green,31,81,6.5,34,4,5.62,19,78.04,59.95,67,3,3,120
Sunrisers Hyderabad,Kolkata Knight Riders,Rajiv Gandhi International Stadium,slow,30,80,18.7,98,2,5.08,25,61.8,62.24,69,7,6,120
Kolkata Knight Riders,Punjab Kings,Ekana Cricket Stadium,dry,35,55,17.7,112,4,6.54,32,91.0,81.65,30,9,12,131
Chennai Super Kings,Lucknow Super Giants,M. A. Chidambaram Stadium,balanced,25,38,5.4,43,3,7.74,23,103.02,100.47,17,3,11,166
Mumbai Indians,Lucknow Super Giants,Narendra Modi Stadium,balanced,34,63,11.1,80,1,6.83,30,83.07,75.27,29,7,13,153
Lucknow Super Giants,Gujarat Titans,Rajiv Gandhi International Stadium,batting friendly,32,59,16.6,143,1,8.65,42,109.33,106.9,46,10,13,179
Punjab Kings,Gujarat Titans,Narendra Modi Stadium,balanced,30,90,19.1,111,9,5.75,27,73.39,65.7,38,9,12,124
Gujarat Titans,Mumbai Indians,Narendra Modi Stadium,slow,27,55,7.0,41,2,6.43,21,84.89,67.24,80,3,4,124
Chennai Super Kings,Mumbai Indians,Narendra Modi Stadium,green,29,41,11.2,57,6,5.07,30,65.62,62.36,14,4,6,120
Punjab Kings,Mumbai Indians,M. A. Chidambaram Stadium,slow,36,35,10.2,44,6,4.68,28,60.38,52.8,16,3,14,120
Mumbai Indians,Chennai Super Kings,Eden Gardens,bowling friendly,40,74,8.5,43,5,5.31,20,71.45,59.43,13,4,5,120
Mumbai Indians,Lucknow Super Giants,Eden Gardens,green,37,46,15.7,77,8,5.25,31,72.94,60.66,10,6,11,120
Punjab Kings,Lucknow Super Giants,Rajiv Gandhi International Stadium,balanced,33,48,20.0,139,0,7.5,37,99.89,93.96,80,10,7,149
Mumbai Indians,Punjab Kings,M. A. Chidambaram Stadium,bowling friendly,31,66,13.8,66,1,5.02,25,65.83,61.88,30,6,10,120
Gujarat Titans,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,slow,32,34,19.8,110,6,5.62,28,75.17,65.78,25,9,7,120
Mumbai Indians,Lucknow Super Giants,Eden Gardens,bowling friendly,25,34,16.4,82,2,5.02,25,63.55,50.33,19,5,15,120
Punjab Kings,Rajasthan Royals,Ekana Cricket Stadium,balanced,38,82,7.2,44,3,6.51,23,79.67,66.77,27,3,3,127
Sunrisers Hyderabad,Rajasthan Royals,Wankhede Stadium,green,34,53,15.0,82,3,5.77,27,79.23,68.85,35,7,15,120
Delhi Capitals,Sunrisers Hyderabad,Wankhede Stadium,flat,32,49,14.9,116,5,8.04,49,107.77,82.77,40,8,7,152
Lucknow Super Giants,Delhi Capitals,Wankhede Stadium,slow,39,55,7.7,48,1,5.82,17,81.22,68.62,68,4,4,123
Lucknow Super Giants,Delhi Capitals,PCA Stadium,balanced,25,71,10.2,87,1,7.82,48,96.79,94.31,26,8,2,173
Mumbai Indians,Kolkata Knight Riders,PCA Stadium,balanced,30,72,8.3,70,1,7.69,26,100.07,85.16,60,6,12,177
Kolkata Knight Riders,Gujarat Titans,Eden Gardens,dry,32,60,8.9,64,2,7.2,26,92.19,84.57,67,5,8,145
Sunrisers Hyderabad,Rajasthan Royals,Rajiv Gandhi International Stadium,slow,30,46,16.6,89,8,5.0,27,60.52,58.01,39,6,12,120
Gujarat Titans,Kolkata Knight Riders,M. A. Chidambaram Stadium,bowling friendly,33,82,18.7,79,9,4.5,28,61.17,54.22,19,6,10,120
Royal Challengers Bangalore,Lucknow Super Giants,Narendra Modi Stadium,slow,27,32,13.8,73,5,4.86,24,63.71,56.93,70,6,10,120
Gujarat Titans,Delhi Capitals,PCA Stadium,bowling friendly,38,65,15.3,65,7,4.5,28,55.82,49.32,63,6,6,120
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,batting friendly,26,89,6.8,63,3,7.89,28,109.48,96.61,29,6,7,181
Punjab Kings,Mumbai Indians,Rajiv Gandhi International Stadium,flat,32,74,14.6,129,8,8.63,44,105.07,86.97,41,13,8,185
Gujarat Titans,Chennai Super Kings,Narendra Modi Stadium,batting friendly,33,83,6.8,46,4,7.13,24,89.95,75.45,72,3,7,130
Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,slow,39,42,19.7,103,7,5.09,32,67.01,55.51,26,6,9,120
Mumbai Indians,Royal Challengers Bangalore,PCA Stadium,slow,38,52,16.8,115,0,7.16,36,93.24,76.75,27,9,2,140
Gujarat Titans,Mumbai Indians,M. Chinnaswamy Stadium,flat,39,87,9.9,97,3,9.55,29,117.65,96.95,61,8,12,199
Sunrisers Hyderabad,Rajasthan Royals,PCA Stadium,bowling friendly,28,62,14.1,66,0,5.03,25,68.5,54.15,56,6,14,120
Sunrisers Hyderabad,Royal Challengers Bangalore,Sawai Mansingh Stadium,flat,37,88,10.3,108,0,9.82,62,131.52,117.19,27,11,10,204
Chennai Super Kings,Lucknow Super Giants,Sawai Mansingh Stadium,flat,31,82,12.8,99,4,7.34,34,89.16,84.76,25,10,15,149
Delhi Capitals,Rajasthan Royals,Ekana Cricket Stadium,dry,38,34,15.9,118,4,7.36,37,101.52,79.46,60,11,12,155
Punjab Kings,Sunrisers Hyderabad,M. A. Chidambaram Stadium,green,32,85,6.5,40,0,5.79,21,74.29,67.49,64,3,14,128
Delhi Capitals,Lucknow Super Giants,Arun Jaitley Stadium,flat,38,43,7.2,78,2,9.84,32,137.68,117.74,22,8,3,213
Gujarat Titans,Chennai Super Kings,PCA Stadium,bowling friendly,33,69,11.7,60,5,5.42,35,67.83,70.26,49,6,15,120
Sunrisers Hyderabad,Punjab Kings,PCA Stadium,batting friendly,32,84,14.3,106,4,7.32,35,97.68,83.61,57,6,10,143
Royal Challengers Bangalore,Delhi Capitals,Narendra Modi Stadium,dry,26,33,15.3,97,4,5.81,35,77.93,68.9,13,9,4,124
Sunrisers Hyderabad,Punjab Kings,Ekana Cricket Stadium,flat,28,49,15.0,118,7,7.85,46,109.59,94.54,62,10,8,157
Sunrisers Hyderabad,Punjab Kings,Ekana Cricket Stadium,bowling friendly,28,68,8.4,48,1,5.0,17,60.97,52.66,50,3,5,120
Kolkata Knight Riders,Mumbai Indians,Sawai Mansingh Stadium,slow,32,42,17.3,106,4,6.03,30,75.55,69.97,41,7,10,124
Chennai Super Kings,Gujarat Titans,Rajiv Gandhi International Stadium,balanced,30,47,13.2,88,4,6.3,38,80.95,79.56,23,7,4,139
